EventId,EventTemplate,Occurrences
65,"onInterceptTouchEvent MotionEvent { action=<*>, actionButton=<*>, id[<*>, x[<*>, y[<*>, toolType[<*>, buttonState=<*>, metaState=<*>, flags=<*>, edgeFlags=<*>, pointerCount=<*>, historySize=<*>, eventTime=<*>, downTime=<*>, deviceId=<*>, source=<*> }, mBlockTouches=false",4
66,playSoundEffect  effectType: <*>,10
67,"animateCollapsePanels:flags=<*>, force=<*>, delayed=<*>, mExpandedVisible=<*>",8
68,START u0 {act=<*> flg=<*> cmp=<*> (has extras)} from uid <*> on display <*>,1
69,"ActivityRecord info: ActivityInfo{<*> <*>}, euid: <*>",4
70,onNotificationClick called,2
71,"cancelNotification,index:<*>",23
72,"cancelNotification,cancelNotificationLocked,callingUid = <*>,callingPid = <*>",2
73,"cancelNotificationLocked called,tell the app,reason = <*>",2
74,cancelNotificationLocked:<*>,2
75,"cancelNotificationLocked,remove =<*>",2
76,applyOptionsLocked: Unknown animationType=<*>,2
77,"Taking screenshot from Surface with crop:[Rect(<*>, <*> - <*>, <*>)], width:[<*>], height:[<*>], minLayer:[<*>], maxLayer:[<*>], inRotation:[<*>], rot:[<*>]",4
78,removeNotification:<*>|com.tencent.mobileqq|<*>|null|<*>,2
79,"updateNotificationShade: total=<*>, active=<*>",13
80,The change in focus caused us to need to do a layout begin,6
81,The change in focus caused us to need to do a layout end,6
82,setLightsOn(<*>),181
83,removeNotificationChildren,12
84,"Skipping, withExcluded: false, tr.intent:Intent { flg=0x10804000 cmp=<*> bnds=[<*>] }",14
85,"Skipping, withExcluded: false, tr.intent:Intent { act=<*> flg=<*> cmp=<*> (has extras) }",21
86,"Skipping, withExcluded: false, tr.intent:Intent { flg=<*> cmp=<*> (has extras) }",21
87,"Skipping, withExcluded: false, tr.intent:Intent { act=<*> dat=<*> typ=<*> flg=<*> cmp=<*> (has extras) }",7
88,"getRecentTasks: num=<*>,flags=<*>,totalTasks=<*>",14
89,getRecentTasks: topActivity=ComponentInfo{<*>},14
90,"cancelNotificationWithTag pid <*>,uid = <*>,tag = <*>,pkg =<*>,id =<*>",20
91,makeExpandedInvisible: mExpandedVisible=<*>,4
92,closeQs,12
93,instantCollapse,9
94,getTasks: caller <*> does not hold REAL_GET_TASKS; limiting output,37
95,isMusicActive...,12
96,"Start dump, calling from : pid=<*>, uid=<*>",1
97,setWiredDeviceConnectionState type: <*> state: <*>,2
98,"ActivityManagerService,attachApplication,callingPid = <*>",4
99,"acquire lock=<*>, flags=0x<*>, tag=""AudioMix"", name=<*>, ws=null, uid=<*>, pid=<*>",5
100,isBluetoothA2dpOn...,1
101,isBluetoothScoOn...,1
102,getLastAudibleStreamVolume treamType: <*>,9
103,getDevicesForStream streamType: <*>,2
104,cleanUpApplicationRecord -- <*>,6
105,"cleanUpApplicationRecordLocked, pid: <*>, restart: <*>",6
106,"cleanUpApplicationRecordLocked, reset pid: <*>, euid: <*>",6
107,stopWifiDisplayScanLocked record.mWifiDisplayScanRequested=<*>,6
108,stopWifiDisplayScanLocked mWifiDisplayScanRequestCount=<*>,6
109,getMode...,1
110,setSpeakerphoneOn on:<*>,2
111,"sending alarm Alarm{<*> type <*> when <*> PendingIntent{<*>: PendingIntentRecord{<*> <*> broadcastIntent}}},repeatInterval = <*>listenerTag =<*>",5
112,Received <*> alarm; rescheduling,3
113,scheduleTimeTickEvent triggerAtTime = <*>,3
114,received broadcast android.intent.action.TIME_TICK,3
115,handleTimeUpdate,3
116,Killing <*> (adj <*>): empty for <*>,1
117,Unable to start service Intent { act=<*> cmp=<*> } U=<*>: not found,1
118,unregisterAudioFocusListener...,1
119,abandonAudioFocus,1
120,"[HSM] stayAwake false uid: <*>, pid: <*>",1
121,Pid:<*> MediaPlayer destructor,1
122,Process <*> (pid <*>) has died,1
123,Scheduling restart of crashed service <*> in <*>ms,1
124,"new Process app=ProcessRecord{<*> <*>}, name: <*>, euid: <*>",1
125,Start proc <*>:com.tencent.mobileqq:<*> for service com.tencent.mobileqq/cooperation.qzone.remote.logic.QzoneWebPluginProxyService,1
126,enqueueNotificationInternal: pkg=<*> id=<*> notification=Notification(pri=<*> contentView=null vibrate=[<*>] sound=null tick defaults=<*> flags=<*> color=<*> <*>vis=PRIVATE),2
127,enqueueNotificationInternal: n.getKey = <*>,2
128,getRingerMode...,3
129,addNotification key=<*>,2
130,mHeadsUpExistenceChangedRunnable,4
131,Marking notification as seen <*>|com.tencent.mobileqq|<*>|null|<*>,1
132,onNotificationExpansionChanged called,2
133,START u0 {act=<*> cat=[<*>] flg=<*> cmp=<*> bnds=[<*>]} from uid <*> on display <*>,2
134,"ACTIVITY check resid: com.example.android.notepad, size=<*>",2
135,getAllCellInfo is blocked by permission manager . callingPackage = <*>,3
136,getCellLocation is blocked by permission manager uid:<*> pid:<*>,1
137,isWiredHeadsetOn...,1
138,"setDataSource(<*>, <*>, <*>)",1
139,getStreamVolume treamType: <*>,1
140,"updateIsPoweredLocked: wasPowered=<*>, mIsPowered=<*>, oldPlugType=<*>, mPlugType=<*>, mBatteryLevel=<*>",1
141,received broadcast android.intent.action.BATTERY_CHANGED,1
142,ACTION_BATTERY_CHANGED AMP: <*>; Volt: <*>,1
143,updateChargingLocked: charging=<*>,1
144,"onReceive, action:android.intent.action.BATTERY_CHANGED",1
145,<*> pluggedType: <*>,2
146,ApStaDisabledState what=<*>,1
147,DefaultState what=<*>,1
148,RefreshBatteryInfo isBatteryLow: <*>,2
149,ChargingSpeed Wattage: <*> ST: <*> --> <*>,1
150,handleBatteryUpdate,1
151,Marking notification as seen <*>|com.tencent.mm|<*>,1
152,START u0 {flg=<*> cmp=<*> (has extras)} from uid <*> on display <*>,1
153,startActivity called from non-Activity context; forcing Intent.FLAG_ACTIVITY_NEW_TASK for: Intent { flg=0x<*> cmp=<*> (has extras) },1
