EventId,EventTemplate,Occurrences
142,Using <*> MHz HPET timer.,1
143,Using HPET based timekeeping.,1
144,Creating Topspin /dev entries:,1
145,registered new driver <*>,4
146,probe of <*> failed with error <*>,1
147,"connection from ""<*>""",2
148,"User #<*>#, coming from #<*>#, authenticated.",2
149,Now running on #<*>#'s privileges.,2
150,Mounting NFS filesystems: succeeded,1
151,Mounting other filesystems: failed,1
152,Warning: we failed to resolve data source name <*>,34
153,Warning: we failed to resolve trusted host name <*>,1
154,gmetad startup succeeded,1
155,succeeded,2
156,Server listening on :: port <*>.,1
157,error: Bind to port <*> on <*> failed: Address already in use.,1
158,Cannot open file <*> for writing (No such file or directory),1
159,Changing permissions on special file /dev/logsurfer,1
160,xinetd startup succeeded,1
161,Reading included configuration file: <*> [file=<*>] [line=<*>],17
162,Started working: <*> available service,1
163,removing chargen,2
164,removing daytime,2
165,removing echo,2
166,removing eklogin,1
167,removing ftp,1
168,removing klogin,1
169,removing kshell,1
170,removing ntalk,1
171,removing printer,1
172,removing rsync,1
173,removing telnet,1
174,removing time,2
175,xinetd Version 2.3.13 started with libwrap loadavg options compiled in.,1
176,"Device: <*>, Temperature changed <*> Celsius to <*> Celsius since last report",1
